governorate,delegation,constituency,candidate,votes,vote_source,votes_digits_ocr,votes_words_ocr,year,source_file,drive_id
الكاف,الدهماني,الدهماني,دلال اللموثي,330,agree,330,ثلاثمايه وثلاثون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الدهماني,احمد سلطاني,220,agree,220,مايتان وعشرون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الزوارين يتقدم الها,عبدالواحد عيساوي,311,agree,311,ثلاثمايه واحد عشره,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الزوارين يتقدم الها,عمر العبيدي,122,agree,122,مايه واثنان وعشرون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الزوارين يتقدم الها,يوسف بوعرس,134,agree,134,مايه واربعه وثلاثون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,المدينه - (الدهماني),صلاح المعشاوي,50,agree,50,خمسون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,ثرمده يتقدم الها,امل العياري,93,digits-wrong,53,ثلاثه وتسعون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,ثرمده يتقدم الها,علي الماجري ‎1‏,20,agree,20,عشرون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,ثرمده يتقدم الها,فوزي العياري,60,agree,60,ستون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,ثرمده يتقدم الها,عمر العياري,64,agree,64,اربعه وستون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,سيدي بركات الشماليه,محمدعلي السعيدي,120,agree,120,مايه وعشرون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,سيدي بركات,زياد الحسناوي,163,agree,163,مايه وثلاثه وستون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,سيدي بركات,مروان المعروي,105,agree,105,مايه وخمسه,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,"عبيده - (الدهماني),",مختار الزياني. ماثهوخمسه,90,digits-wrong,105,وتسعون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,"عبيده - (الدهماني),",سوار الشارني,80,digits-wrong,50,ثمانون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,السرس,الابار,سهيل عقبي,123,agree,123,مايه وثلاثه وعشرون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,الابار,شاكر الرزقي اثنا,10,digits-wrong,12,عشره,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,الابار,سيفالدين العياري,9,agree,9,تسعه,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"الابار الشرقيه, تصرح",هشام العلوي,129,agree,129,مايه وتسعه وعشرون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"الابار الشرقيه, تصرح",زهير العياري,77,agree,77,سبعه وسبعون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"الابار الشرقيه, تصرح",السعيدي يوسفي,20,agree,20,عشرون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,الارسصء تصرح البييه,فيصل الضبايي اثعان وسفوق,62,digits-only,62,,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,الارسصء تصرح البييه,محمدالهادي الواعر,48,agree,48,ثمانيه واربعون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,الارسصء تصرح البييه,صابرين الخماسي مايه وسته وسبعون 1/6,592000154,digits-only,592000154,,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,اللاس,محمدعلي عبدلاوي,88,digits-wrong,58,ثمانيه وثمانون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,اللاس,وليد صالي,83,digits-wrong,853,ثلاثه وثمانون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,السرس,محمدسيف الدين غزيل,210,agree,210,مايتان وعشره,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,السرس,محمدرفيق الحناثي,33,agree,33,ثلاثه وثلاثون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,السرس,محسن العبيدي,120,agree,120,مايه وعشرون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"السرس الشماليه,",المنجي الورفلي,146,agree,146,مايه وسته واربعون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"السرس الشماليه,",بسام الشريف,61,agree,61,واحد وستون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,المرجي - (السرس),سامي حسني,51,agree,51,واحد وخمسون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"بوصليعه, تصرح البييه العليا",العرومي الزعلوني,47,digits-wrong,417,سبعه واربعون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"بوصليعه, تصرح البييه العليا",نزار يحي,136,agree,136,مايه وسته وثلاثون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"بوصليعه, تصرح البييه العليا",احمد الرحالي,15,agree,15,خمسه عشر,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,حي النور- (السرس),اسامه مجدي,163,agree,163,مايه وثلاثه وستون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,حي النور- (السرس),رووف عرفاوي,63,agree,63,ثلاثه وستون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,حي النور- (السرس),جهان علوي,326,agree,326,ثلاثمايه وسته وعشرون,2023,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,الطويرف,الاذياب,لطفي الحيدري,94,digits-wrong,594,اربعه وتسعون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,الاذياب,نسرين ايوبي ‎1‏,35,agree,35,خمسه وثلاثون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,"الطويرف 1, تصرح البييه",احمد جبالي,105,agree,105,مايه وخمسه,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,"الطويرف 1, تصرح البييه",نعيم ماجري,65,agree,65,خمسه وستون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,"الطويرف 2, تصرح",احمد عامري,173,agree,173,مايه وثلاثه وسبعون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,"الطويرف 2, تصرح",عبد الحفيظ عبيدي,78,agree,78,ثمانيه وسبعون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,ملاله يتقدم المها,رشيد شعبوني,71,digits-wrong,7,واحد وسبعون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,ملاله يتقدم المها,هاجر الحيدري,49,agree,49,تسعه واربعون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,ملاله يتقدم المها,لطفي ورغي,95,digits-wrong,55,خمسه وتسعون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,ملاله يتقدم المها,انور ميري,37,agree,37,سبعه وثلاثون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,"ولجه السدره, تصرح",متهي ر_ ناوي ماثه وثماتيه وثلاتون,138,digits-only,138,,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,"ولجه السدره, تصرح",عمار ورغي,69,agree,69,تسعه وستون,2023,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,القصور,الزيتونه - (القصور),صلاح الدين الجميعي,147,agree,147,مايه وسبعه واربعون,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,الزيتونه - (القصور),فتحي فضلاوي,87,agree,87,سبعه وثمانون,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,الزيتونه - (القصور),رمزي بالاسود,229,agree,229,مايتان وتسعه وعشرون,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,القصور - (القصور),عبدالستار سلامه,137,agree,137,مايه وسبعه وثلاثون,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,القصور - (القصور),احلام برهومي,326,agree,326,ثلاثمايه وسته وعشرون,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,اللواته,هشام رايد,104,agree,104,مايه واربعه,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,اللواته,فاروق قاسمي,25,agree,25,خمسه وعشرون,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,بانوء تصرح البييه,نبيل السلامي,109,agree,109,مايه وتسعه,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,بانوء تصرح البييه,محمد رحايعي,34,agree,34,اربعه وثلاثون,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,عين القصيبه,02ا*,5202,digits-only,5202,,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,عين فضيلء تصرح البييه,صلاح الوافي مايه وواجد,50,digits-wrong,151,وخمسون,2023,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القلعه الخصباء,القلعه,رمزي جدي,151,agree,151,مايه وواحد وخمسون,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,القلعه,كريم شيخاوي,51,agree,51,واحد وخمسون,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,القلعه,بليغ فضلي,66,agree,66,سته وستون,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,القلعه,اسماعيل شيخاوي,191,digits-wrong,151,مايه وواحد وتسعون,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,القلعه,دنيا خضراوي,83,agree,83,ثلاثه وثمانون,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,القلعه,مني خلفاوي,25,agree,25,خمسه وعشرون,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,القلعه,فاطمه اللموثي,4,agree,4,اربعه,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,الناظور - (القلعه الخصباء),حمادي البوغانمي,74,agree,74,اربعه وسبعون,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,سيدي احمد,اروي مسعودي,297,digits-wrong,257,مايتان وسبعه وتسعون,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,سيدي احمد,صالح حمداني,126,agree,126,مايه وسته وعشرون,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,"هنطايه,",محمد مسعودي,115,agree,115,مايه وخمسه عشر,2023,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,الكاف الشرقيه,الحوارث,شادي بالطيب,153,agree,153,مايه وثلاثه وخمسون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الحوارث,ياسين خلايفيه ماثه,46,digits-wrong,146,وسته واربعون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الزعفران,اسكندر نموثي,231,agree,231,مايتان وواحد وثلاثون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الزعفران,عبداللطيف نموشي,80,digits-wrong,580,ثمانون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الزعفران,حافظ الخضايري,216,agree,216,مايتان وسته عشر,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الشرفيين,سهام بنزاكي,174,agree,174,مايه واربعه وسبعون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الشرفيين,احمد طبوعي,135,digits-wrong,155,مايه وخمسه وثلاثون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الشرفيين,انيس سعداوي,107,agree,107,مايه وسبعه,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,بنعنين يتقدم,هيثم الخلفاوي,155,agree,155,مايه وخمسه وخمسون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,بنعنين يتقدم,معتز الوسلاتي2,82,digits-wrong,52,اثنان وثمانون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,بنعنين يتقدم,نبيل الخضراوي,61,agree,61,واحد وستون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,بنعنين يتقدم,سرحان زغلامي,277,digits-wrong,27,مايتان وسبعه وسبعون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,حشاد,حمه الفرشيشي,155,agree,155,مايه وخمسه وخمسون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,حشاد,برهان الشابي ‎1‏,95,agree,95,خمسه وتسعون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,دير الكاف,معز الفضلاوي,80,digits-wrong,50,ثمانون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,دير الكاف,منجي جبالي,115,agree,115,مايه وخمسه عشر,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,وادي السواني,سيرين مرزوقي,68,agree,68,ثمانيه وستون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,وادي السواني,عبدالرووف كلاعي,81,agree,81,واحد وثمانون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,وادي السواني,علي محجوبي,88,digits-wrong,58,ثمانيه وثمانون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,وادي السواني,عتيق جعواني,19,agree,19,تسعه عشر,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,وادي السواني,صابر سلامي,105,agree,105,مايه وخمسه,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,وادي السواني,قيس عبيدي,66,agree,66,سته وستون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,وادي السواني,علاله كلاعي,65,agree,65,خمسه وستون,2023,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الغربيه,الحوارث,اسامه سحنون,165,agree,165,مايه وخمسه وستون,2023,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,الحوارث,ربيع عمري,113,agree,113,مايه وثلاثه عشر,2023,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,الحوارث,محسن عبيدي مايه وسبعه 107 9 ا[07,200,digits-only,200,,2023,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,الحوارث,طارق عزيز ابراهيم,71,agree,71,واحد وسبعون,2023,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,الحوارث,سفيان الشارني,432,agree,432,اربعمايه واثنان وثلاثون,2023,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,الحوارث,سيف ميساوي,228,agree,228,مايتان وثمانيه وعشرون,2023,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
